"","vap","tv","turnout","state.abb"
"1",3481823,NA,NA,"AL"
"2",496387,238307,0.480083080338526,"AK"
"3",4582842,1553032,0.338879673355529,"AZ"
"4",2120139,780409,0.368093318409783,"AR"
"5",26955438,8899059,0.33013965493716,"CA"
"6",3617942,1586105,0.438399786397902,"CO"
"7",2673154,1162391,0.434838770979899,"CT"
"8",472143,122356,0.259150299803238,"DE"
"9",14085749,4884544,0.346772045987757,"FL"
"10",6915512,2143845,0.310005246177,"GA"
"11",995937,348988,0.350411722829858,"HI"
"12",1073799,458927,0.427386317178541,"ID"
"13",9600372,3586292,0.373557607976024,"IL"
"14",4732010,1719351,0.363344752018698,"IN"
"15",2265860,1071509,0.47289285304476,"IA"
"16",2068253,864083,0.41778399451131,"KS"
"17",3213141,1370062,0.426393364001144,"KY"
"18",3188765,954896,0.299456372608204,"LA"
"19",1033632,NA,NA,"ME"
"20",4242214,1809237,0.426484142478432,"MD"
"21",4997677,2243835,0.448975594061001,"MA"
"22",7620982,3852008,0.505447723141191,"MI"
"23",3908159,2217552,0.567416013524527,"MN"
"24",2139918,NA,NA,"MS"
"25",4426278,2178278,0.492124082581347,"MO"
"26",731365,411061,0.562046310665673,"MT"
"27",1321923,610499,0.46182644526194,"NE"
"28",1870315,586274,0.313462705480093,"NV"
"29",1012033,418550,0.413573470430312,"NH"
"30",6598368,2315643,0.350941778330642,"NJ"
"31",1452962,568597,0.391336456149576,"NM"
"32",14838076,4703830,0.317010776868915,"NY"
"33",6752018,2036451,0.301606275338721,"NC"
"34",494923,220479,0.445481418321638,"ND"
"35",8697456,4184072,0.481068487153025,"OH"
"36",2697855,NA,NA,"OK"
"37",2850525,1399650,0.491014813060752,"OR"
"38",9612380,NA,NA,"PA"
"39",824854,392882,0.476304897593998,"RI"
"40",3303593,1117311,0.338210851034011,"SC"
"41",594599,341105,0.573672340518568,"SD"
"42",4636679,1868363,0.402952846207382,"TN"
"43",17038979,NA,NA,"TX"
"44",1797941,582561,0.324015637888006,"UT"
"45",487900,263025,0.53909612625538,"VT"
"46",5841335,2398589,0.410623427692471,"VA"
"47",4876661,2085074,0.427561809196907,"WA"
"48",1421717,473014,0.332706157413888,"WV"
"49",4257230,2183155,0.51281114715437,"WI"
"50",392344,196217,0.500114695267418,"WY"
