rid,race,latino,age,vote04,tvnews,newspaper,internet,approval,bush.th,obama.th,mccain.th,partyid,income
1,4,2,34,1,0,0,,1,85,25,60,3,24
2,1,2,58,1,0,3,,1,60,0,70,1,13
3,1,2,39,1,3,0,,0,85,30,60,2,21
4,1,2,49,0,3,7,,0,50,55,70,5,21
5,1,2,72,1,7,3,,1,70,30,70,2,19
6,1,2,71,1,1,7,,1,70,0,85,2,18
7,1,2,66,1,7,7,,1,85,15,70,3,15
8,1,2,56,1,,,0,0,70,30,70,5,20
9,1,2,40,1,,,1,1,85,40,85,2,19
10,2,2,55,1,,,7,0,0,100,50,1,
11,1,2,84,1,6,3,,0,60,30,85,3,18
12,1,2,55,1,7,1,,0,85,0,85,2,21
13,1,2,30,1,5,1,,0,70,15,60,2,21
14,1,2,79,1,,,0,1,100,0,70,2,
15,1,2,77,1,4,3,,1,70,15,85,3,
16,1,2,72,1,,,0,0,70,85,85,3,
17,2,2,21,0,0,1,,0,15,85,30,1,
18,1,2,27,0,2,0,,0,15,40,40,3,20
19,1,2,61,1,7,0,,0,30,40,85,1,17
20,1,2,50,1,,,4,1,85,0,70,2,22
21,1,2,31,1,1,1,,0,40,40,70,3,
22,1,2,87,1,7,7,,0,30,60,60,3,
23,4,1,37,0,7,0,,0,0,60,60,1,19
24,1,1,29,0,,,4,0,30,100,0,1,13
25,1,1,18,0,,,3,0,30,85,15,1,10
26,1,2,55,1,7,1,,0,0,70,30,1,12
27,1,1,43,0,7,0,,0,40,85,50,4,13
28,1,2,40,0,2,3,,1,60,30,70,1,
29,1,1,55,0,,,1,0,,,60,1,14
30,4,1,37,1,,,7,0,40,70,60,3,21
31,1,2,60,1,,,7,0,60,15,85,2,
32,1,2,78,1,1,7,,0,100,40,100,2,19
33,1,2,57,1,2,7,,1,60,40,85,2,21
34,1,2,53,1,7,7,,0,0,100,15,3,8
35,1,2,29,,,,7,0,30,70,60,3,19
36,4,2,24,0,0,0,,1,70,70,50,3,
37,4,2,28,0,,,0,0,25,85,50,3,
38,1,1,52,1,,,7,0,1,70,80,1,
39,1,2,24,1,,,7,0,30,60,40,1,
40,1,2,63,1,1,5,,0,25,85,35,1,21
41,2,2,40,1,3,0,,0,0,40,30,1,9
42,4,2,39,0,,,0,1,100,0,85,3,14
43,1,2,52,1,,,7,0,40,60,60,1,18
44,1,2,53,1,,,7,0,0,70,15,4,24
45,4,2,46,1,3,3,,1,50,,50,2,20
46,1,2,60,0,0,3,,0,15,70,60,,
47,1,1,38,1,,,3,0,0,80,50,1,
48,1,2,33,1,1,7,,0,0,70,30,3,20
49,1,2,49,1,,,5,1,70,40,60,2,21
50,1,2,28,0,,,2,0,0,85,40,1,
51,1,2,59,1,,,7,0,15,85,70,1,23
52,4,2,47,1,0,3,,0,0,25,25,3,19
53,1,2,41,1,,,2,1,60,50,70,2,
54,1,2,25,1,,,0,0,30,70,40,3,15
55,1,2,45,1,0,0,,0,0,70,40,2,11
56,1,1,65,1,,,0,1,50,50,50,2,9
57,1,2,33,0,0,0,,0,40,60,40,3,17
58,1,2,45,0,6,1,,1,70,85,50,3,
59,1,2,30,0,4,1,,0,30,85,50,3,
60,1,2,78,1,7,7,,1,70,40,85,,
61,1,1,32,1,,,2,0,15,85,60,3,19
62,1,2,61,1,2,0,,1,77,30,70,3,
63,4,1,25,0,,,7,0,30,40,60,2,
