Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Lost_Stock,CivilianCasualty,Log_CivilianCasualty
Velika Kladusa,2006,21.15272279,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,6.417036231,0.372344447,-0.98793592
Velika Kladusa,2010,19.32773109,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,6.417036231,0.372344447,-0.98793592
Velika Kladusa,2014,33.36640464,2.052619642,0.719116852,0.874009057,0.899435445,0.035728774,159.3614458,10092.8971,25.80023815,665.6522886,3.169652983,0.018900733,6.417036231,0.372344447,-0.98793592
Cazin,2006,64.84255579,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,10.168058,0.165591635,-1.798230552
Cazin,2010,61.95453251,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,10.168058,0.165591635,-1.798230552
Cazin,2014,80.54324455,1.466668769,0.382993686,0.960973649,0.970755334,0.010742002,178.1151685,7635.556467,26.55410115,705.120288,2.143228879,0.047311896,10.168058,0.165591635,-1.798230552
Bihac,2006,54.94875246,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,10.65403569,0.38596392,-0.952011385
Bihac,2010,44.10059542,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,10.65403569,0.38596392,-0.952011385
Bihac,2014,62.93506036,2.212577051,0.794157923,0.5579775,0.598700696,0.148697329,102.8081395,20270.28785,29.95661794,897.3989583,1.528304021,0.197930215,10.65403569,0.38596392,-0.952011385
Bosanska Dubica (Kozarska Dubica),2006,96.11687088,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,6.184715255,0.120230336,-2.118345909
Bosanska Dubica (Kozarska Dubica),2010,94.42068068,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,6.184715255,0.120230336,-2.118345909
Bosanska Dubica (Kozarska Dubica),2014,93.33565338,1.167499842,0.154864575,0.576875644,0.190493839,0.672702619,63.33867735,25089.06537,34.83177245,1213.252372,7.729545023,0.126558248,6.184715255,0.120230336,-2.118345909
Prijedor,2006,96.34172651,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,19.78517105,3.694587846,1.306869004
Prijedor,2010,90.87674432,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,19.78517105,3.694587846,1.306869004
Prijedor,2014,92.06992516,4.685320278,1.544434276,0.430787879,0.395122147,0.379813046,134.9436451,17292.28828,31.87251984,1015.857521,12.46368055,0.319877736,19.78517105,3.694587846,1.306869004
Bosanska Gradiska (Gradiska),2006,95.33928318,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,7.8552482,0.238436656,-1.433651597
Bosanska Gradiska (Gradiska),2010,94.50540031,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,7.8552482,0.238436656,-1.433651597
Bosanska Gradiska (Gradiska),2014,94.67848402,1.007103078,0.00707797,0.494210492,0.227531032,0.549107361,78.70603675,29988.29493,33.2677577,1106.743702,9.472438056,0.100043352,7.8552482,0.238436656,-1.433651597
Laktasi,2006,97.2557629,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.051584779,0.003352105,-5.698166772
Laktasi,2010,96.81660008,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.051584779,0.003352105,-5.698166772
Laktasi,2014,95.06476472,0.797801019,-0.225896062,0.797182303,0.076058724,0.740918149,76.88659794,17174.94637,33.27215741,1107.036459,0.512872084,0.067042102,2.051584779,0.003352105,-5.698166772
Srbac,2006,97.76318718,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,3.605512745,0.009157509,-4.693181081
Srbac,2010,95.71783598,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,3.605512745,0.009157509,-4.693181081
Srbac,2014,97.53863766,0.595238095,-0.518793794,0.848395602,0.038291955,0.881135897,48.21192053,18125.09158,33.64842033,1132.216191,0.718864469,0,3.605512745,0.009157509,-4.693181081
Prnjavor,2006,97.28250731,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,1.193465492,0.040378281,-3.209463238
Prnjavor,2010,96.31115636,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,1.193465492,0.040378281,-3.209463238
Prnjavor,2014,95.23083491,1.132717033,0.124619201,0.613649301,0.129429081,0.67910207,74.69047619,12630.41122,33.01994475,1090.316751,3.481032834,0.021251727,1.193465492,0.040378281,-3.209463238
Derventa,2006,92.28676086,1.65341925,0.502845416,0.339831659,0.324387461,0.397525689,109.2630561,18655.87991,32.86762024,1080.280461,5.955141709,0.070810246,44.43223228,0.285011241,-1.255226657
